accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.9768741726875305,0.9456160068511963,0.08696142584085464,0.9779061079025269,0.9980428814888,0.9796290397644043,0.9592862725257874,0.07491066306829453,0.9793546795845032,0.9994829893112183,2.9999999242136255e-05
0.9770358204841614,0.946262538433075,0.08643791079521179,0.9780593514442444,0.9980545043945312,0.9798340797424316,0.9589013457298279,0.07420928031206131,0.9794947504997253,0.9995558261871338,1.4999999621068127e-05
0.9771175980567932,0.9470253586769104,0.08606449514627457,0.9781489372253418,0.9980475306510925,0.9798428416252136,0.9597707986831665,0.07344502955675125,0.9795387983322144,0.9995183944702148,1.4999999621068127e-05
0.9771841764450073,0.9478234052658081,0.08561967313289642,0.9782634377479553,0.997997522354126,0.9799662232398987,0.9601601362228394,0.07265786826610565,0.9796915650367737,0.999489426612854,1.4999999621068127e-05
0.9772910475730896,0.9483241438865662,0.0852525383234024,0.978385865688324,0.9979828596115112,0.9798941016197205,0.9605394601821899,0.07222792506217957,0.9796283841133118,0.9994785785675049,1.4999999621068127e-05
0.9773508310317993,0.9487264156341553,0.08493147045373917,0.978459358215332,0.9979693293571472,0.9798603057861328,0.9607452154159546,0.07254379987716675,0.979533851146698,0.9995425343513489,1.4999999621068127e-05
0.9773897528648376,0.9489121437072754,0.08491690456867218,0.9784911870956421,0.9979774951934814,0.9799916744232178,0.9621835350990295,0.072056844830513,0.9798177480697632,0.9993827939033508,1.4999999621068127e-05
0.9773081541061401,0.9487650990486145,0.08515992015600204,0.9784138798713684,0.9979714751243591,0.9798716902732849,0.9632217288017273,0.0721973180770874,0.9795942306518555,0.9994906187057495,1.4999999621068127e-05
0.9773249626159668,0.9488130807876587,0.08512857556343079,0.9784151315689087,0.9979884028434753,0.9800000190734863,0.9622104167938232,0.07213348150253296,0.9798406362533569,0.9993675351142883,1.4999999621068127e-05
0.9774034023284912,0.949062705039978,0.08498632907867432,0.9784782528877258,0.9980061650276184,0.9800485968589783,0.9622216820716858,0.07185269892215729,0.9797890782356262,0.9994749426841736,7.499999810534064e-06
0.9774665832519531,0.9490257501602173,0.0848589763045311,0.9785321354866028,0.9980170726776123,0.9799920320510864,0.9622291922569275,0.07189539819955826,0.9797242879867554,0.9994825720787048,7.499999810534064e-06
0.9775463938713074,0.9493110179901123,0.08473080396652222,0.9786033630371094,0.9980276823043823,0.9800554513931274,0.9621654748916626,0.07176288217306137,0.9797543883323669,0.9995191693305969,7.499999810534064e-06
0.9776067137718201,0.9493553042411804,0.08464709669351578,0.9786320924758911,0.9980624318122864,0.9810023903846741,0.9619619846343994,0.07181303203105927,0.9807547330856323,0.9994813799858093,3.749999905267032e-06
0.9775727987289429,0.9493153095245361,0.0846462994813919,0.9786209464073181,0.9980376362800598,0.9801097512245178,0.9620813131332397,0.07176298648118973,0.979819118976593,0.9995091557502747,3.749999905267032e-06
0.9776206016540527,0.9494173526763916,0.08453333377838135,0.9786638021469116,0.9980436563491821,0.9800820350646973,0.9618809819221497,0.07187453657388687,0.9798022508621216,0.9994970560073853,1.874999952633516e-06
0.9775795936584473,0.9493808746337891,0.08466547727584839,0.978617250919342,0.9980488419532776,0.9801101088523865,0.9615893363952637,0.07187052816152573,0.9798384308815002,0.9994890093803406,1.874999952633516e-06
